Date,Season,Country,Region,Aircraft,Operator,Schedule,Total on board,Survivors,Total fatalities,Crash cause
1920-09-25,Autumn,United Kingdom,Europe,Central Centaur IIA,Central Aircraft Company,,6,No,6,Unknown
1920-09-27,Autumn,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Hazlehurst – Bellefonte,1,No,1,Human factor
1920-09-29,Autumn,United Kingdom,Europe,Avro 504,Eastbourne Aviation,,0,,0,Unknown
1920-09-30,Autumn,Canada,North America,De Havilland DH.9,Royal Canadian Air Force - RCAF,,0,,0,Unknown
1920-10-02,Autumn,France,Europe,Salmson 2.A2,Lignes Aériennes Latécoère,Toulouse - Barcelona,2,No,2,Unknown
1920-10-05,Autumn,Spain,Europe,Breguet 14,Lignes Aériennes Latécoère,,2,No,2,Unknown
1920-10-05,Autumn,United Kingdom,Europe,Avro 504,Royal Air Force - RAF,Grantham - Grantham,0,,0,Unknown
1920-10-07,Autumn,Canada,North America,Fairey III,Royal Canadian Air Force - RCAF,,0,Yes,0,Unknown
1920-10-16,Autumn,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Chicago - Omaha,1,No,1,Human factor
1920-10-19,Autumn,Sweden,Europe,Armstrong Whitworth F.K.8,Tryggve Gran,Stockholm – Kristiania,2,Yes,0,Technical failure
1920-11-06,Autumn,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Salt Lake City – Cheyenne,1,No,1,Human factor
1920-11-09,Autumn,France,Europe,De Havilland DH.9,Aircraft Transport %26 Travel - AT%26T,Croydon - Paris,0,Yes,0,Unknown
1920-11-11,Autumn,New Zealand,Oceania,Avro 504,Walsh Brother's Flying School,New Plymouth - New Plymouth,3,No,3,Unknown
1920-11-13,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-11-22,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
